Timestamp,Camera_ID,Violation_Type,Action
2025-12-18 13:50:12,3,No PPE,ALARM WARNING
2025-12-18 13:50:13,3,No PPE,ALARM WARNING
2025-12-18 13:50:14,3,No PPE,ALARM WARNING
2025-12-18 13:50:14,3,No PPE,ALARM WARNING
2025-12-18 13:50:14,3,No PPE,ALARM WARNING
2025-12-18 13:50:15,3,No PPE,ALARM WARNING
2025-12-18 13:50:15,3,No PPE,ALARM WARNING
2025-12-18 13:50:16,3,No PPE,ALARM WARNING
2025-12-18 13:50:16,3,No PPE,ALARM WARNING
2025-12-18 13:50:17,3,No PPE,ALARM WARNING
2025-12-18 13:50:17,3,No PPE,ALARM WARNING
2025-12-18 13:50:18,3,No PPE,ALARM WARNING
2025-12-18 13:50:18,3,No PPE,ALARM WARNING
2025-12-18 13:50:18,3,No PPE,ALARM WARNING
2025-12-18 13:50:18,3,No PPE,ALARM WARNING
2025-12-18 13:50:18,3,No PPE,ALARM WARNING
2025-12-18 13:50:18,3,No PPE,ALARM WARNING
2025-12-18 13:50:19,3,No PPE,ALARM WARNING
2025-12-18 13:50:20,3,No PPE,ALARM WARNING
2025-12-18 13:50:20,3,No PPE,ALARM WARNING
2025-12-18 13:50:20,3,No PPE,ALARM WARNING
2025-12-18 13:50:20,3,No PPE,ALARM WARNING
2025-12-18 13:50:20,3,No PPE,ALARM WARNING
2025-12-18 13:50:20,3,No PPE,ALARM WARNING
2025-12-18 13:50:21,3,No PPE,ALARM WARNING
2025-12-18 13:50:21,3,No PPE,ALARM WARNING
2025-12-18 13:50:21,3,No PPE,ALARM WARNING
2025-12-18 13:50:21,3,No PPE,ALARM WARNING
2025-12-18 13:50:21,3,No PPE,ALARM WARNING
2025-12-18 13:50:22,3,No PPE,ALARM WARNING
2025-12-18 13:50:22,3,No PPE,ALARM WARNING
2025-12-18 13:50:22,3,No PPE,ALARM WARNING
2025-12-18 13:50:22,3,No PPE,ALARM WARNING
2025-12-18 13:50:22,3,No PPE,ALARM WARNING
2025-12-18 13:50:23,3,No PPE,ALARM WARNING
2025-12-18 13:50:23,3,No PPE,ALARM WARNING
2025-12-18 13:50:23,3,No PPE,ALARM WARNING
2025-12-18 13:50:23,3,No PPE,ALARM WARNING
2025-12-18 13:50:23,3,No PPE,ALARM WARNING
2025-12-18 13:50:23,3,No PPE,ALARM WARNING
2025-12-18 13:50:24,3,No PPE,ALARM WARNING
2025-12-18 13:50:24,3,No PPE,ALARM WARNING
2025-12-18 13:50:24,3,No PPE,ALARM WARNING
2025-12-18 13:50:24,3,No PPE,ALARM WARNING
2025-12-18 13:50:24,3,No PPE,ALARM WARNING
2025-12-18 13:50:25,3,No PPE,ALARM WARNING
2025-12-18 13:50:25,3,No PPE,ALARM WARNING
2025-12-18 13:50:25,3,No PPE,ALARM WARNING
2025-12-18 13:50:25,3,No PPE,ALARM WARNING
2025-12-18 13:50:25,3,No PPE,ALARM WARNING
2025-12-18 13:50:25,3,No PPE,ALARM WARNING
2025-12-18 13:50:26,3,No PPE,ALARM WARNING
2025-12-18 13:50:26,3,No PPE,ALARM WARNING
2025-12-18 13:50:26,3,No PPE,ALARM WARNING
2025-12-18 13:50:26,3,No PPE,ALARM WARNING
2025-12-18 13:50:27,3,No PPE,ALARM WARNING
2025-12-18 13:50:27,3,No PPE,ALARM WARNING
2025-12-18 13:50:42,3,No PPE,ALARM WARNING
2025-12-18 13:50:43,3,No PPE,ALARM WARNING
2025-12-18 13:50:43,3,No PPE,ALARM WARNING
2025-12-18 13:52:22,3,No PPE,ALARM WARNING
2025-12-18 13:52:23,3,No PPE,ALARM WARNING
2025-12-18 13:52:23,3,No PPE,ALARM WARNING
2025-12-18 13:52:24,3,No PPE,ALARM WARNING
