Timestamp,Camera_ID,Violation_Type,Action
2025-12-18 13:50:21,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:21,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:22,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:22,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:22,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:22,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:22,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:25,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:25,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:26,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:26,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:26,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:26,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:26,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:27,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:27,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:27,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:27,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:27,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:28,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:28,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:28,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:28,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:28,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:28,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:29,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:29,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:29,1,Intrusion & no hat,ALARM CRITICAL
2025-12-18 13:50:29,1,Intrusion & no hat,ALARM CRITICAL
